ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath,MaxScore,NormalizedScore
1058123,61864,Trumpet,Technical Etude,Note Accuracy,10,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,1.0
1058124,61864,Trumpet,Technical Etude,Rhythmic Accuracy,10,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,1.0
1058125,61864,Trumpet,Technical Etude,"Musicality, Tempo, & Style",14,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,20.0,0.7
1058126,61864,Trumpet,Chromatic Scale,Chromatic Scale,12,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8
1058127,61864,Trumpet,Major Scales,G,13,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8666666666666667
1058128,61864,Trumpet,Major Scales,C,12,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8
1058129,61864,Trumpet,Major Scales,F,13,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8666666666666667
1058130,61864,Trumpet,Major Scales,Bb,12,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8
1058131,61864,Trumpet,Major Scales,Eb,12,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8
1058132,61864,Trumpet,Major Scales,Ab,13,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.8666666666666667
1058133,61864,Trumpet,Major Scales,Db,5,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,15.0,0.3333333333333333
1058134,61864,Trumpet,Sight-Reading,Tone Quality,7,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,0.7
1058135,61864,Trumpet,Sight-Reading,Note Accuracy,6,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,0.6
1058136,61864,Trumpet,Sight-Reading,Rhythmic Accuracy,5,~/AudioFiles/2016-2017/AllStateAuditions/61864.mp3,10.0,0.5
